node,thULA,thURA,thULB,thURB,dthULA,dthURA,dthULB,dthURB,tLeftA,tRightA,tLeftB,tRightB
402,0.462993333,1.693036707,1.038155426,2.06667952,-1.110584269,0.756571793,-2.829465007,-2.754028434,2.457692896,4.233321969,4.704336574,-7.20935645
403,0.459665506,1.710592766,1.017139123,2.046115692,-0.43700006,2.305407597,-2.759796169,-2.70037857,2.189178951,4.148139491,4.588412198,-7.032199848
404,0.461217117,1.739305858,0.996438345,2.026057155,0.203752806,3.770514945,-2.718362564,-2.634025449,1.954369165,4.021157107,4.489142885,-6.8775123
405,0.467641069,1.778275491,0.975853087,2.006575171,0.84357366,5.11737245,-2.703192855,-2.558314263,1.750816596,3.856590412,4.405698204,-6.744405457
406,0.479112024,1.826437772,0.955200319,1.987714546,1.506330574,6.324522822,-2.712058073,-2.476719371,1.575072711,3.659891013,4.337687022,-6.632173905
407,0.495921764,1.882646529,0.934315719,1.969493335,2.207403513,7.38116152,-2.742501603,-2.392753483,1.422694596,3.436856087,4.285029736,-6.540219818
408,0.518413506,1.945726106,0.913054832,1.95190317,2.95354651,8.283416418,-2.791914439,-2.30988647,1.28846442,3.192847,4.247861659,-6.468010449
409,0.546917953,2.014495862,0.891293676,1.934909935,3.743116501,9.030633411,-2.857608236,-2.231499526,1.166728212,2.932295691,4.226466575,-6.415064856
410,0.581694196,2.087772803,0.868928973,1.918454518,4.56670956,9.622503029,-2.936864103,-2.160874773,1.051757536,2.658531325,4.221236744,-6.380959455
411,0.622878794,2.164361267,0.845878211,1.90245348,5.408234992,10.05736223,-3.02695542,-2.101207331,0.938072543,2.37386542,4.23263949,-6.365345518
412,0.670446486,2.243038656,0.82207967,1.88679955,6.246443485,10.33167331,-3.125151428,-2.055626021,0.820701015,2.079840532,4.261222575,-6.367961665
413,0.72418574,2.32254488,0.7974925,1.871361979,7.056874037,10.44051353,-3.228711665,-2.027214418,0.695367846,1.777552513,4.307591107,-6.388679482
414,0.783691327,2.401581391,0.772096863,1.855986745,7.814091121,10.37883219,-3.334877201,-2.019028584,0.558614253,1.467973481,4.372418302,-6.427521028
415,0.848374291,2.478823332,0.745894144,1.840496624,8.493968521,10.14317485,-3.440860643,-2.034115243,0.407845758,1.1522179,4.456452208,-6.484715327
416,0.917487203,2.552945704,0.718907272,1.824691076,9.075695642,9.733522495,-3.543833295,-2.075536019,0.241310019,0.831705666,4.560531945,-6.560759197
417,0.990160126,2.622661445,0.691181184,1.80834584,9.5431852,9.154857236,-3.640904789,-2.146406276,0.058012054,0.508188924,4.685612085,-6.656499075
418,1.065441067,2.686766557,0.662783559,1.791212035,9.885662231,8.418086639,-3.729089013,-2.249958725,-0.142417391,0.183629036,4.83279456,-6.773237628
419,1.142334274,2.744185385,0.633805955,1.773014502,10.09737994,7.540064298,-3.805250065,-2.389644236,-0.359878062,-0.140063144,5.003366583,-6.912875265
420,1.219830572,2.794008569,0.604365569,1.753448947,10.176576,6.542627563,-3.866021093,-2.56928861,-0.593952414,-0.461385188,5.198844658,-7.078109037
421,1.340590067,2.832701198,0.563449387,1.7151634,10.57184848,3.387332873,-3.581993082,-3.351695022,-0.406474792,-2.557864718,8.318696901,-11.06484562
422,1.486335154,2.810244849,0.529120092,1.664694162,12.75920147,-1.96593303,-3.005345826,-4.418311414,0.971228533,-5.479621725,9.153912077,-11.94713918
423,1.722449253,2.690156603,0.50146275,1.602977443,20.67053011,-10.51308545,-2.421252783,-5.402969557,3.201358573,-8.405209714,10.02301696,-9.288893835
424,1.689786886,2.633416398,0.495861517,1.522643793,-2.859415099,-4.967300575,-0.490357961,-7.03278016,8.201198181,-12.98614355,5.023084857,-4.288894933
425,1.646250144,2.61996123,0.495929568,1.470173,-5.717111858,-1.766891537,0.008936294,-6.890304161,6.172571191,-9.923825628,0.023085509,0.711104818
426,1.594517792,2.595940529,0.477107281,1.459246852,-4.528889867,-2.102883471,-1.647790278,-0.956525573,8.195704949,-14.92357373,-1.618746436,5.71109882
427,1.553209856,2.566392243,0.46716019,1.460186316,-3.616288308,-2.586794051,-0.870814487,0.082245042,7.204747484,-14.20788754,0.35793332,1.459331668
428,1.519881679,2.532576916,0.461971196,1.473579497,-2.917703425,-2.960350759,-0.454268595,1.17250126,6.584227632,-13.41967865,-0.191219513,1.405420533
429,1.4988169,2.509912075,0.458602822,1.486972945,-2.766162267,-2.976277495,-0.442324526,1.758786543,4.053081789,-8.48460677,-0.46069573,1.033770639
430,1.47853136,2.487416406,0.455011974,1.504434691,-2.663834914,-2.954062205,-0.471539144,2.293022874,3.919057685,-8.258288422,-0.59877827,0.961113777
431,1.458796514,2.465190581,0.45097662,1.525452404,-2.591519469,-2.918627249,-0.529910387,2.759981728,3.806495324,-8.053957061,-0.71336042,0.874636684
432,1.439411793,2.443312168,0.44636664,1.549433964,-2.545542126,-2.873006146,-0.605368409,3.14918492,3.712693536,-7.870364621,-0.805124058,0.775070887
433,1.420202614,2.421836728,0.441132362,1.575736413,-2.522490557,-2.820088997,-0.687349365,3.453957063,3.635674443,-7.706483558,-0.874846022,0.663457493
434,1.401019154,2.400798771,0.435293088,1.603689744,-2.519113144,-2.762639992,-0.766795583,3.670745766,3.574080067,-7.561468359,-0.923377469,0.540940481
435,1.38173546,2.380212665,0.428926197,1.63261393,-2.532275678,-2.703304486,-0.836080605,3.798235456,3.527020361,-7.434620621,-0.951642494,0.40862761
436,1.362248639,2.360073482,0.422157647,1.661829087,-2.558949584,-2.644615791,-0.888825225,3.836444891,3.493961919,-7.325367634,-0.960591467,0.267482489
437,1.342478035,2.340357781,0.415154674,1.690659596,-2.59621518,-2.589005393,-0.919609006,3.785934195,3.474646722,-7.233251137,-0.951142431,0.118255737
438,1.322364345,2.321024265,0.408121399,1.71843341,-2.641268183,-2.538818088,-0.923588126,3.647172143,3.469035488,-7.15792361,-0.924090438,-0.038547417
439,1.301868699,2.302014304,0.401297737,1.744477787,-2.691425416,-2.496329871,-0.896062415,3.42006777,3.477257799,-7.099150483,-0.880058563,-0.20267407
440,1.280971745,2.2832523,0.394961887,1.768112412,-2.74412399,-2.463768992,-0.832004361,3.103626649,3.499603447,-7.056817255,-0.819433772,-0.374117091
441,1.259672779,2.264645877,0.38943655,1.788640409,-2.796914984,-2.443338404,-0.725570405,2.695673721,3.536488706,-7.030941358,-0.742326366,-0.553109233
442,1.237988983,2.246085891,0.385098995,1.805337132,-2.847449687,-2.437240585,-0.569594442,2.192562482,3.588459253,-7.021691007,-0.648539136,-0.740132202
443,1.215954812,2.227446218,0.382395232,1.817435802,-2.89345982,-2.447704695,-0.355049808,1.588760338,3.656190069,-7.029399063,-0.53754572,-0.935957298
444,1.193621572,2.208583319,0.381858827,1.824107768,-2.932732702,-2.477018085,-0.07043912,0.876142127,3.740493807,-7.054611264,-0.408473697,-1.141740958
445,1.171057183,2.189335533,0.384135544,1.824433059,-2.963086512,-2.527560331,0.298971491,0.04271616,3.842334148,-7.098106186,-0.260087478,-1.359211065
446,1.148346091,2.169522078,0.390016733,1.817352761,-2.982350952,-2.601842298,0.772299748,-0.929763012,3.962841076,-7.160950327,-0.090650264,-1.591075953
447,1.12593629,2.148492167,0.404956001,1.797677857,-2.942786446,-2.761583492,1.961778963,-2.583648181,4.102378778,-7.243454952,1.312051185,-2.61072317
448,1.103560603,2.126946899,0.434483314,1.759672029,-2.938306732,-2.829258675,3.87743643,-4.990809065,4.259439987,-3.259389998,2.772040526,-3.763999019
449,1.082008193,2.108912106,0.485585609,1.693585662,-2.830196607,-2.36827388,6.710597145,-8.678259669,0.631444171,1.74060894,4.53026492,-5.151388872
450,1.082008193,2.108912106,0.485585609,1.693585662,6.710597145,-8.678259669,-2.830196607,-2.36827388,3.77E-05,-1.224051931,2.06E-06,6.16E-06
451,1.059702269,2.087651901,0.471450616,1.687275288,-2.929145402,-2.791824759,-1.856163889,-0.828658877,4.879482657,-6.224048268,2.791979177,4.261389447
452,1.038155426,2.06667952,0.462993333,1.693036707,-2.829465007,-2.754028434,-1.110584269,0.756571793,4.704336574,-7.20935645,2.457692896,4.233321969
453,1.017139123,2.046115692,0.459665506,1.710592766,-2.759796169,-2.70037857,-0.43700006,2.305407597,4.588412198,-7.032199848,2.189178951,4.148139491
454,0.996438345,2.026057155,0.461217117,1.739305858,-2.718362564,-2.634025449,0.203752806,3.770514945,4.489142885,-6.8775123,1.954369165,4.021157107
455,0.975853087,2.006575171,0.467641069,1.778275491,-2.703192855,-2.558314263,0.84357366,5.11737245,4.405698204,-6.744405457,1.750816596,3.856590412
456,0.955200319,1.987714546,0.479112024,1.826437772,-2.712058073,-2.476719371,1.506330574,6.324522822,4.337687022,-6.632173905,1.575072711,3.659891013
457,0.934315719,1.969493335,0.495921764,1.882646529,-2.742501603,-2.392753483,2.207403513,7.38116152,4.285029736,-6.540219818,1.422694596,3.436856087
458,0.913054832,1.95190317,0.518413506,1.945726106,-2.791914439,-2.30988647,2.95354651,8.283416418,4.247861659,-6.468010449,1.28846442,3.192847
459,0.891293676,1.934909935,0.546917953,2.014495862,-2.857608236,-2.231499526,3.743116501,9.030633411,4.226466575,-6.415064856,1.166728212,2.932295691
460,0.868928973,1.918454518,0.581694196,2.087772803,-2.936864103,-2.160874773,4.56670956,9.622503029,4.221236744,-6.380959455,1.051757536,2.658531325
461,0.845878211,1.90245348,0.622878794,2.164361267,-3.02695542,-2.101207331,5.408234992,10.05736223,4.23263949,-6.365345518,0.938072543,2.37386542
462,0.82207967,1.88679955,0.670446486,2.243038656,-3.125151428,-2.055626021,6.246443485,10.33167331,4.261222575,-6.367961665,0.820701015,2.079840532
463,0.7974925,1.871361979,0.72418574,2.32254488,-3.228711665,-2.027214418,7.056874037,10.44051353,4.307591107,-6.388679482,0.695367846,1.777552513
464,0.772096863,1.855986745,0.783691327,2.401581391,-3.334877201,-2.019028584,7.814091121,10.37883219,4.372418302,-6.427521028,0.558614253,1.467973481
465,0.745894144,1.840496624,0.848374291,2.478823332,-3.440860643,-2.034115243,8.493968521,10.14317485,4.456452208,-6.484715327,0.407845758,1.1522179
466,0.718907272,1.824691076,0.917487203,2.552945704,-3.543833295,-2.075536019,9.075695642,9.733522495,4.560531945,-6.560759197,0.241310019,0.831705666
467,0.691181184,1.80834584,0.990160126,2.622661445,-3.640904789,-2.146406276,9.5431852,9.154857236,4.685612085,-6.656499075,0.058012054,0.508188924
468,0.662783559,1.791212035,1.065441067,2.686766557,-3.729089013,-2.249958725,9.885662231,8.418086639,4.83279456,-6.773237628,-0.142417391,0.183629036
469,0.633805955,1.773014502,1.142334274,2.744185385,-3.805250065,-2.389644236,10.09737994,7.540064298,5.003366583,-6.912875265,-0.359878062,-0.140063144
470,0.604365569,1.753448947,1.219830572,2.794008569,-3.866021093,-2.56928861,10.176576,6.542627563,5.198844658,-7.078109037,-0.593952414,-0.461385188
471,0.563449387,1.7151634,1.340590067,2.832701198,-3.581993082,-3.351695022,10.57184848,3.387332873,8.318696901,-11.06484562,-0.406474792,-2.557864718
472,0.529120092,1.664694162,1.486335154,2.810244849,-3.005345826,-4.418311414,12.75920147,-1.96593303,9.153912077,-11.94713918,0.971228533,-5.479621725
473,0.50146275,1.602977443,1.722449253,2.690156603,-2.421252783,-5.402969557,20.67053011,-10.51308545,10.02301696,-9.288893835,3.201358573,-8.405209714
474,0.495861517,1.522643793,1.689786886,2.633416398,-0.490357961,-7.03278016,-2.859415099,-4.967300575,5.023084857,-4.288894933,8.201198181,-12.98614355
475,0.495929568,1.470173,1.646250144,2.61996123,0.008936294,-6.890304161,-5.717111858,-1.766891537,0.023085509,0.711104818,6.172571191,-9.923825628
476,0.477107281,1.459246852,1.594517792,2.595940529,-1.647790278,-0.956525573,-4.528889867,-2.102883471,-1.618746436,5.71109882,8.195704949,-14.92357373
477,0.46716019,1.460186316,1.553209856,2.566392243,-0.870814487,0.082245042,-3.616288308,-2.586794051,0.35793332,1.459331668,7.204747484,-14.20788754
478,0.461971196,1.473579497,1.519881679,2.532576916,-0.454268595,1.17250126,-2.917703425,-2.960350759,-0.191219513,1.405420533,6.584227632,-13.41967865
479,0.458602822,1.486972945,1.4988169,2.509912075,-0.442324526,1.758786543,-2.766162267,-2.976277495,-0.46069573,1.033770639,4.053081789,-8.48460677
480,0.455011974,1.504434691,1.47853136,2.487416406,-0.471539144,2.293022874,-2.663834914,-2.954062205,-0.59877827,0.961113777,3.919057685,-8.258288422
481,0.45097662,1.525452404,1.458796514,2.465190581,-0.529910387,2.759981728,-2.591519469,-2.918627249,-0.71336042,0.874636684,3.806495324,-8.053957061
482,0.44636664,1.549433964,1.439411793,2.443312168,-0.605368409,3.14918492,-2.545542126,-2.873006146,-0.805124058,0.775070887,3.712693536,-7.870364621
483,0.441132362,1.575736413,1.420202614,2.421836728,-0.687349365,3.453957063,-2.522490557,-2.820088997,-0.874846022,0.663457493,3.635674443,-7.706483558
484,0.435293088,1.603689744,1.401019154,2.400798771,-0.766795583,3.670745766,-2.519113144,-2.762639992,-0.923377469,0.540940481,3.574080067,-7.561468359
485,0.428926197,1.63261393,1.38173546,2.380212665,-0.836080605,3.798235456,-2.532275678,-2.703304486,-0.951642494,0.40862761,3.527020361,-7.434620621
486,0.422157647,1.661829087,1.362248639,2.360073482,-0.888825225,3.836444891,-2.558949584,-2.644615791,-0.960591467,0.267482489,3.493961919,-7.325367634
487,0.415154674,1.690659596,1.342478035,2.340357781,-0.919609006,3.785934195,-2.59621518,-2.589005393,-0.951142431,0.118255737,3.474646722,-7.233251137
488,0.408121399,1.71843341,1.322364345,2.321024265,-0.923588126,3.647172143,-2.641268183,-2.538818088,-0.924090438,-0.038547417,3.469035488,-7.15792361
489,0.401297737,1.744477787,1.301868699,2.302014304,-0.896062415,3.42006777,-2.691425416,-2.496329871,-0.880058563,-0.20267407,3.477257799,-7.099150483
490,0.394961887,1.768112412,1.280971745,2.2832523,-0.832004361,3.103626649,-2.74412399,-2.463768992,-0.819433772,-0.374117091,3.499603447,-7.056817255
491,0.38943655,1.788640409,1.259672779,2.264645877,-0.725570405,2.695673721,-2.796914984,-2.443338404,-0.742326366,-0.553109233,3.536488706,-7.030941358
492,0.385098995,1.805337132,1.237988983,2.246085891,-0.569594442,2.192562482,-2.847449687,-2.437240585,-0.648539136,-0.740132202,3.588459253,-7.021691007
493,0.382395232,1.817435802,1.215954812,2.227446218,-0.355049808,1.588760338,-2.89345982,-2.447704695,-0.53754572,-0.935957298,3.656190069,-7.029399063
494,0.381858827,1.824107768,1.193621572,2.208583319,-0.07043912,0.876142127,-2.932732702,-2.477018085,-0.408473697,-1.141740958,3.740493807,-7.054611264
495,0.384135544,1.824433059,1.171057183,2.189335533,0.298971491,0.04271616,-2.963086512,-2.527560331,-0.260087478,-1.359211065,3.842334148,-7.098106186
496,0.390016733,1.817352761,1.148346091,2.169522078,0.772299748,-0.929763012,-2.982350952,-2.601842298,-0.090650264,-1.591075953,3.962841076,-7.160950327
497,0.404956001,1.797677857,1.12593629,2.148492167,1.961778963,-2.583648181,-2.942786446,-2.761583492,1.312051185,-2.61072317,4.102378778,-7.243454952
498,0.434483314,1.759672029,1.103560603,2.126946899,3.87743643,-4.990809065,-2.938306732,-2.829258675,2.772040526,-3.763999019,4.259439987,-3.259389998
499,0.485585609,1.693585662,1.082008193,2.108912106,6.710597145,-8.678259669,-2.830196607,-2.36827388,4.53026492,-5.151388872,0.631444171,1.74060894
500,0.485585609,1.693585662,1.082008193,2.108912106,-2.830196607,-2.36827388,6.710597145,-8.678259669,2.06E-06,6.16E-06,3.77E-05,-1.224051931
501,0.471450616,1.687275288,1.059702269,2.087651901,-1.856163889,-0.828658877,-2.929145402,-2.791824759,2.791979177,4.261389447,4.879482657,-6.224048268
502,0.462993333,1.693036707,1.038155426,2.06667952,-1.110584269,0.756571793,-2.829465007,-2.754028434,2.457692896,4.233321969,4.704336574,-7.20935645
503,0.459665506,1.710592766,1.017139123,2.046115692,-0.43700006,2.305407597,-2.759796169,-2.70037857,2.189178951,4.148139491,4.588412198,-7.032199848
504,0.461217117,1.739305858,0.996438345,2.026057155,0.203752806,3.770514945,-2.718362564,-2.634025449,1.954369165,4.021157107,4.489142885,-6.8775123
505,0.467641069,1.778275491,0.975853087,2.006575171,0.84357366,5.11737245,-2.703192855,-2.558314263,1.750816596,3.856590412,4.405698204,-6.744405457
506,0.479112024,1.826437772,0.955200319,1.987714546,1.506330574,6.324522822,-2.712058073,-2.476719371,1.575072711,3.659891013,4.337687022,-6.632173905
507,0.495921764,1.882646529,0.934315719,1.969493335,2.207403513,7.38116152,-2.742501603,-2.392753483,1.422694596,3.436856087,4.285029736,-6.540219818
508,0.518413506,1.945726106,0.913054832,1.95190317,2.95354651,8.283416418,-2.791914439,-2.30988647,1.28846442,3.192847,4.247861659,-6.468010449
509,0.546917953,2.014495862,0.891293676,1.934909935,3.743116501,9.030633411,-2.857608236,-2.231499526,1.166728212,2.932295691,4.226466575,-6.415064856
510,0.581694196,2.087772803,0.868928973,1.918454518,4.56670956,9.622503029,-2.936864103,-2.160874773,1.051757536,2.658531325,4.221236744,-6.380959455
511,0.622878794,2.164361267,0.845878211,1.90245348,5.408234992,10.05736223,-3.02695542,-2.101207331,0.938072543,2.37386542,4.23263949,-6.365345518
512,0.670446486,2.243038656,0.82207967,1.88679955,6.246443485,10.33167331,-3.125151428,-2.055626021,0.820701015,2.079840532,4.261222575,-6.367961665
513,0.72418574,2.32254488,0.7974925,1.871361979,7.056874037,10.44051353,-3.228711665,-2.027214418,0.695367846,1.777552513,4.307591107,-6.388679482
514,0.783691327,2.401581391,0.772096863,1.855986745,7.814091121,10.37883219,-3.334877201,-2.019028584,0.558614253,1.467973481,4.372418302,-6.427521028
515,0.848374291,2.478823332,0.745894144,1.840496624,8.493968521,10.14317485,-3.440860643,-2.034115243,0.407845758,1.1522179,4.456452208,-6.484715327
516,0.917487203,2.552945704,0.718907272,1.824691076,9.075695642,9.733522495,-3.543833295,-2.075536019,0.241310019,0.831705666,4.560531945,-6.560759197
517,0.990160126,2.622661445,0.691181184,1.80834584,9.5431852,9.154857236,-3.640904789,-2.146406276,0.058012054,0.508188924,4.685612085,-6.656499075
518,1.065441067,2.686766557,0.662783559,1.791212035,9.885662231,8.418086639,-3.729089013,-2.249958725,-0.142417391,0.183629036,4.83279456,-6.773237628
519,1.142334274,2.744185385,0.633805955,1.773014502,10.09737994,7.540064298,-3.805250065,-2.389644236,-0.359878062,-0.140063144,5.003366583,-6.912875265
520,1.219830572,2.794008569,0.604365569,1.753448947,10.176576,6.542627563,-3.866021093,-2.56928861,-0.593952414,-0.461385188,5.198844658,-7.078109037
521,1.340590067,2.832701198,0.563449387,1.7151634,10.57184848,3.387332873,-3.581993082,-3.351695022,-0.406474792,-2.557864718,8.318696901,-11.06484562
522,1.486335154,2.810244849,0.529120092,1.664694162,12.75920147,-1.96593303,-3.005345826,-4.418311414,0.971228533,-5.479621725,9.153912077,-11.94713918
523,1.722449253,2.690156603,0.50146275,1.602977443,20.67053011,-10.51308545,-2.421252783,-5.402969557,3.201358573,-8.405209714,10.02301696,-9.288893835
524,1.689786886,2.633416398,0.495861517,1.522643793,-2.859415099,-4.967300575,-0.490357961,-7.03278016,8.201198181,-12.98614355,5.023084857,-4.288894933
525,1.646250144,2.61996123,0.495929568,1.470173,-5.717111858,-1.766891537,0.008936294,-6.890304161,6.172571191,-9.923825628,0.023085509,0.711104818
526,1.594517792,2.595940529,0.477107281,1.459246852,-4.528889867,-2.102883471,-1.647790278,-0.956525573,8.195704949,-14.92357373,-1.618746436,5.71109882
527,1.553209856,2.566392243,0.46716019,1.460186316,-3.616288308,-2.586794051,-0.870814487,0.082245042,7.204747484,-14.20788754,0.35793332,1.459331668
528,1.519881679,2.532576916,0.461971196,1.473579497,-2.917703425,-2.960350759,-0.454268595,1.17250126,6.584227632,-13.41967865,-0.191219513,1.405420533
529,1.4988169,2.509912075,0.458602822,1.486972945,-2.766162267,-2.976277495,-0.442324526,1.758786543,4.053081789,-8.48460677,-0.46069573,1.033770639
530,1.47853136,2.487416406,0.455011974,1.504434691,-2.663834914,-2.954062205,-0.471539144,2.293022874,3.919057685,-8.258288422,-0.59877827,0.961113777
531,1.458796514,2.465190581,0.45097662,1.525452404,-2.591519469,-2.918627249,-0.529910387,2.759981728,3.806495324,-8.053957061,-0.71336042,0.874636684
532,1.439411793,2.443312168,0.44636664,1.549433964,-2.545542126,-2.873006146,-0.605368409,3.14918492,3.712693536,-7.870364621,-0.805124058,0.775070887
533,1.420202614,2.421836728,0.441132362,1.575736413,-2.522490557,-2.820088997,-0.687349365,3.453957063,3.635674443,-7.706483558,-0.874846022,0.663457493
534,1.401019154,2.400798771,0.435293088,1.603689744,-2.519113144,-2.762639992,-0.766795583,3.670745766,3.574080067,-7.561468359,-0.923377469,0.540940481
535,1.38173546,2.380212665,0.428926197,1.63261393,-2.532275678,-2.703304486,-0.836080605,3.798235456,3.527020361,-7.434620621,-0.951642494,0.40862761
536,1.362248639,2.360073482,0.422157647,1.661829087,-2.558949584,-2.644615791,-0.888825225,3.836444891,3.493961919,-7.325367634,-0.960591467,0.267482489
537,1.342478035,2.340357781,0.415154674,1.690659596,-2.59621518,-2.589005393,-0.919609006,3.785934195,3.474646722,-7.233251137,-0.951142431,0.118255737
538,1.322364345,2.321024265,0.408121399,1.71843341,-2.641268183,-2.538818088,-0.923588126,3.647172143,3.469035488,-7.15792361,-0.924090438,-0.038547417
539,1.301868699,2.302014304,0.401297737,1.744477787,-2.691425416,-2.496329871,-0.896062415,3.42006777,3.477257799,-7.099150483,-0.880058563,-0.20267407
540,1.280971745,2.2832523,0.394961887,1.768112412,-2.74412399,-2.463768992,-0.832004361,3.103626649,3.499603447,-7.056817255,-0.819433772,-0.374117091
541,1.259672779,2.264645877,0.38943655,1.788640409,-2.796914984,-2.443338404,-0.725570405,2.695673721,3.536488706,-7.030941358,-0.742326366,-0.553109233
542,1.237988983,2.246085891,0.385098995,1.805337132,-2.847449687,-2.437240585,-0.569594442,2.192562482,3.588459253,-7.021691007,-0.648539136,-0.740132202
543,1.215954812,2.227446218,0.382395232,1.817435802,-2.89345982,-2.447704695,-0.355049808,1.588760338,3.656190069,-7.029399063,-0.53754572,-0.935957298
544,1.193621572,2.208583319,0.381858827,1.824107768,-2.932732702,-2.477018085,-0.07043912,0.876142127,3.740493807,-7.054611264,-0.408473697,-1.141740958
545,1.171057183,2.189335533,0.384135544,1.824433059,-2.963086512,-2.527560331,0.298971491,0.04271616,3.842334148,-7.098106186,-0.260087478,-1.359211065
546,1.148346091,2.169522078,0.390016733,1.817352761,-2.982350952,-2.601842298,0.772299748,-0.929763012,3.962841076,-7.160950327,-0.090650264,-1.591075953
547,1.12593629,2.148492167,0.404956001,1.797677857,-2.942786446,-2.761583492,1.961778963,-2.583648181,4.102378778,-7.243454952,1.312051185,-2.61072317
548,1.103560603,2.126946899,0.434483314,1.759672029,-2.938306732,-2.829258675,3.87743643,-4.990809065,4.259439987,-3.259389998,2.772040526,-3.763999019
549,1.082008193,2.108912106,0.485585609,1.693585662,-2.830196607,-2.36827388,6.710597145,-8.678259669,0.631444171,1.74060894,4.53026492,-5.151388872
550,1.082008193,2.108912106,0.485585609,1.693585662,6.710597145,-8.678259669,-2.830196607,-2.36827388,3.77E-05,-1.224051931,2.06E-06,6.16E-06
551,1.059702269,2.087651901,0.471450616,1.687275288,-2.929145402,-2.791824759,-1.856163889,-0.828658877,4.879482657,-6.224048268,2.791979177,4.261389447
552,1.038155426,2.06667952,0.462993333,1.693036707,-2.829465007,-2.754028434,-1.110584269,0.756571793,4.704336574,-7.20935645,2.457692896,4.233321969
553,1.017139123,2.046115692,0.459665506,1.710592766,-2.759796169,-2.70037857,-0.43700006,2.305407597,4.588412198,-7.032199848,2.189178951,4.148139491
554,0.996438345,2.026057155,0.461217117,1.739305858,-2.718362564,-2.634025449,0.203752806,3.770514945,4.489142885,-6.8775123,1.954369165,4.021157107
555,0.975853087,2.006575171,0.467641069,1.778275491,-2.703192855,-2.558314263,0.84357366,5.11737245,4.405698204,-6.744405457,1.750816596,3.856590412
556,0.955200319,1.987714546,0.479112024,1.826437772,-2.712058073,-2.476719371,1.506330574,6.324522822,4.337687022,-6.632173905,1.575072711,3.659891013
557,0.934315719,1.969493335,0.495921764,1.882646529,-2.742501603,-2.392753483,2.207403513,7.38116152,4.285029736,-6.540219818,1.422694596,3.436856087
558,0.913054832,1.95190317,0.518413506,1.945726106,-2.791914439,-2.30988647,2.95354651,8.283416418,4.247861659,-6.468010449,1.28846442,3.192847
559,0.891293676,1.934909935,0.546917953,2.014495862,-2.857608236,-2.231499526,3.743116501,9.030633411,4.226466575,-6.415064856,1.166728212,2.932295691
560,0.868928973,1.918454518,0.581694196,2.087772803,-2.936864103,-2.160874773,4.56670956,9.622503029,4.221236744,-6.380959455,1.051757536,2.658531325
561,0.845878211,1.90245348,0.622878794,2.164361267,-3.02695542,-2.101207331,5.408234992,10.05736223,4.23263949,-6.365345518,0.938072543,2.37386542
562,0.82207967,1.88679955,0.670446486,2.243038656,-3.125151428,-2.055626021,6.246443485,10.33167331,4.261222575,-6.367961665,0.820701015,2.079840532
563,0.7974925,1.871361979,0.72418574,2.32254488,-3.228711665,-2.027214418,7.056874037,10.44051353,4.307591107,-6.388679482,0.695367846,1.777552513
564,0.772096863,1.855986745,0.783691327,2.401581391,-3.334877201,-2.019028584,7.814091121,10.37883219,4.372418302,-6.427521028,0.558614253,1.467973481
565,0.745894144,1.840496624,0.848374291,2.478823332,-3.440860643,-2.034115243,8.493968521,10.14317485,4.456452208,-6.484715327,0.407845758,1.1522179
566,0.718907272,1.824691076,0.917487203,2.552945704,-3.543833295,-2.075536019,9.075695642,9.733522495,4.560531945,-6.560759197,0.241310019,0.831705666
567,0.691181184,1.80834584,0.990160126,2.622661445,-3.640904789,-2.146406276,9.5431852,9.154857236,4.685612085,-6.656499075,0.058012054,0.508188924
568,0.662783559,1.791212035,1.065441067,2.686766557,-3.729089013,-2.249958725,9.885662231,8.418086639,4.83279456,-6.773237628,-0.142417391,0.183629036
569,0.633805955,1.773014502,1.142334274,2.744185385,-3.805250065,-2.389644236,10.09737994,7.540064298,5.003366583,-6.912875265,-0.359878062,-0.140063144
570,0.604365569,1.753448947,1.219830572,2.794008569,-3.866021093,-2.56928861,10.176576,6.542627563,5.198844658,-7.078109037,-0.593952414,-0.461385188
571,0.563449387,1.7151634,1.340590067,2.832701198,-3.581993082,-3.351695022,10.57184848,3.387332873,8.318696901,-11.06484562,-0.406474792,-2.557864718
572,0.529120092,1.664694162,1.486335154,2.810244849,-3.005345826,-4.418311414,12.75920147,-1.96593303,9.153912077,-11.94713918,0.971228533,-5.479621725
573,0.50146275,1.602977443,1.722449253,2.690156603,-2.421252783,-5.402969557,20.67053011,-10.51308545,10.02301696,-9.288893835,3.201358573,-8.405209714
574,0.495861517,1.522643793,1.689786886,2.633416398,-0.490357961,-7.03278016,-2.859415099,-4.967300575,5.023084857,-4.288894933,8.201198181,-12.98614355
575,0.495929568,1.470173,1.646250144,2.61996123,0.008936294,-6.890304161,-5.717111858,-1.766891537,0.023085509,0.711104818,6.172571191,-9.923825628
576,0.477107281,1.459246852,1.594517792,2.595940529,-1.647790278,-0.956525573,-4.528889867,-2.102883471,-1.618746436,5.71109882,8.195704949,-14.92357373
577,0.46716019,1.460186316,1.553209856,2.566392243,-0.870814487,0.082245042,-3.616288308,-2.586794051,0.35793332,1.459331668,7.204747484,-14.20788754
578,0.461971196,1.473579497,1.519881679,2.532576916,-0.454268595,1.17250126,-2.917703425,-2.960350759,-0.191219513,1.405420533,6.584227632,-13.41967865
